[ WARN:0] global /home/nvidia/host/build_opencv/nv_opencv/modules/videoio/src/cap_gstreamer.cpp (933) open OpenCV | GStreamer warning: Cannot query video position: status=0, value=-1, duration=-1
[ WARN:0] global /home/nvidia/host/build_opencv/nv_opencv/modules/videoio/src/cap_gstreamer.cpp (1184) setProperty OpenCV | GStreamer warning: GStreamer: unhandled property
Gtk-Message: 21:22:14.165: Failed to load module "canberra-gtk-module"
vision_progress frame=1440 capture_ms=14.853 gpu_ms=10.172 post_ms=2.250 total_ms=35.830 fps_avg=33.021 det=2
vision_progress frame=1470 capture_ms=10.585 gpu_ms=10.238 post_ms=2.219 total_ms=31.659 fps_avg=32.952 det=2
vision_progress frame=1500 capture_ms=10.792 gpu_ms=10.565 post_ms=2.495 total_ms=32.606 fps_avg=32.957 det=2
vision_progress frame=1530 capture_ms=9.708 gpu_ms=10.444 post_ms=2.913 total_ms=31.928 fps_avg=32.827 det=3
vision_progress frame=1560 capture_ms=13.965 gpu_ms=10.155 post_ms=2.092 total_ms=34.978 fps_avg=33.074 det=2
vision_progress frame=1590 capture_ms=10.581 gpu_ms=10.092 post_ms=2.252 total_ms=31.553 fps_avg=33.157 det=2
vision_progress frame=1620 capture_ms=9.973 gpu_ms=10.251 post_ms=2.434 total_ms=31.688 fps_avg=32.909 det=2
vision_progress frame=1650 capture_ms=10.715 gpu_ms=10.234 post_ms=2.198 total_ms=31.825 fps_avg=32.784 det=2
vision_progress frame=1680 capture_ms=14.581 gpu_ms=10.168 post_ms=2.632 total_ms=36.052 fps_avg=33.016 det=3
vision_progress frame=1710 capture_ms=10.701 gpu_ms=10.103 post_ms=2.198 total_ms=31.707 fps_avg=32.876 det=2
vision_progress frame=1740 capture_ms=11.019 gpu_ms=10.129 post_ms=2.190 total_ms=31.966 fps_avg=32.903 det=2
vision_progress frame=1770 capture_ms=14.734 gpu_ms=10.146 post_ms=2.169 total_ms=35.706 fps_avg=32.775 det=2
vision_progress frame=1800 capture_ms=14.680 gpu_ms=10.282 post_ms=2.212 total_ms=35.771 fps_avg=32.925 det=2
vision_progress frame=1830 capture_ms=10.684 gpu_ms=10.279 post_ms=2.126 total_ms=31.728 fps_avg=32.980 det=2
vision_progress frame=1860 capture_ms=10.644 gpu_ms=10.123 post_ms=2.331 total_ms=31.876 fps_avg=32.797 det=2
vision_progress frame=1890 capture_ms=20.156 gpu_ms=10.166 post_ms=0.579 total_ms=39.532 fps_avg=29.442 det=0
vision_progress frame=1920 capture_ms=20.097 gpu_ms=10.190 post_ms=0.590 total_ms=39.576 fps_avg=27.009 det=0
vision_progress frame=1950 capture_ms=12.469 gpu_ms=10.110 post_ms=0.587 total_ms=31.941 fps_avg=31.510 det=0
